City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Telhara,IN,78.82,scattered clouds,21.0269,76.8389,Raj Pan Palace
262,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
264,Boyolangu,ID,86.34,overcast clouds,-8.1181,111.8935,Yos ega cv
265,Isla Mujeres,MX,75.25,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
268,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
273,Singaparna,ID,84.52,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
278,Mandera,KE,78.33,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
284,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
288,Ishigaki,JP,80.73,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
290,Moindou,NC,78.75,broken clouds,-21.6924,165.677,Gite de la RYAWA
291,Soe,ID,87.19,overcast clouds,-9.8607,124.284,Dena Hotel
299,Saint-Pierre,RE,81.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
300,Mongo,TD,75.45,few clouds,12.1844,18.693,Résidences du Programme FIDA
304,Dingle,PH,86.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
307,Hobyo,SO,80.62,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
308,Madang,PG,84.79,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
310,Atar,MR,81.45,overcast clouds,20.5169,-13.0499,Oumou Elghoura
314,Ha Tinh,VN,81.57,scattered clouds,18.3333,105.9,Phú Quý
316,Ben Tre,VN,88.68,overcast clouds,10.2333,106.3833,bentre kiwi oasis hotel company ltd
320,Thanh Hoa,VN,81.16,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
322,Carutapera,BR,78.78,few clouds,-1.195,-46.02,Lidera
323,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
327,Gushikawa,JP,80.19,clear sky,26.3544,127.8686,Kirari Guest House
328,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
329,Sinnamary,GF,78.48,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
336,Manaure,CO,79.27,overcast clouds,11.7751,-72.4445,Hotel Palaaima
347,Namatanai,PG,79.92,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
348,Faanui,PF,80.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
352,Muscat,OM,75.22,few clouds,23.6139,58.5922,Mutrah Hotel
371,Tual,ID,83.3,broken clouds,-5.6667,132.75,Grand Vilia Hotel
372,Dhidhdhoo,MV,81.99,overcast clouds,6.8833,73.1,Dhidhoo beach
378,Port Blair,IN,84.25,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
386,Bachaquero,VE,77.88,scattered clouds,9.9694,-71.1494,casa de los dinosaurios
393,Sao Filipe,CV,78.53,overcast clouds,14.8961,-24.4956,Hotel Xaguate
397,Sur,OM,77.27,clear sky,22.5667,59.5289,Sur Plaza Hotel
398,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
