City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,-4.72,97,21,6.44,few clouds
80,Impfondo,CG,1.6381,18.0667,69.64,98,71,1.88,broken clouds
81,Broome,US,42.2506,-75.833,40.01,69,90,1.99,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,64.11,70,0,6.91,clear sky
83,Ribeira Grande,PT,38.5167,-28.7,61.93,87,100,27.98,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,35.49,88,96,5.32,overcast clouds
85,Castro,BR,-24.7911,-50.0119,54.61,94,41,8.66,scattered clouds
86,Chuy,UY,-33.6971,-53.4616,60.4,86,0,4.0,clear sky
87,Port Keats,AU,-14.25,129.55,90.34,61,100,14.0,light rain
88,Tautira,PF,-17.7333,-149.15,84.0,68,13,12.57,few clouds
89,Georgetown,MY,5.4112,100.3354,85.95,74,40,8.05,scattered clouds
90,Hithadhoo,MV,-0.6,73.0833,79.86,85,100,16.42,moderate rain
91,East London,ZA,-33.0153,27.9116,62.64,87,100,7.29,light rain
92,Port Elizabeth,ZA,-33.918,25.5701,65.1,84,100,15.28,overcast clouds
93,Grindavik,IS,63.8424,-22.4338,32.47,100,90,20.71,light snow
94,Ponta Do Sol,PT,32.6667,-17.1,66.13,63,100,6.8,overcast clouds
95,Hilo,US,19.7297,-155.09,76.73,87,90,3.44,overcast clouds
96,Oistins,BB,13.0667,-59.5333,77.94,78,53,9.28,broken clouds
97,Airai,TL,-8.9266,125.4092,77.13,56,84,1.48,broken clouds
98,Haines Junction,CA,60.7522,-137.5108,-1.66,91,100,2.06,overcast clouds
99,Tiksi,RU,71.6872,128.8694,-9.74,91,100,7.11,overcast clouds
100,Kodiak,US,57.79,-152.4072,31.51,64,90,16.11,snow
101,Chai Nat,TH,15.1167,100.1,87.08,70,29,1.21,scattered clouds
102,Ekibastuz,KZ,51.6667,75.3667,21.69,55,100,9.62,overcast clouds
103,Bengkulu,ID,-3.8004,102.2655,83.71,69,97,6.51,light rain
104,Ambon,ID,-3.6954,128.1814,89.74,70,40,8.05,scattered clouds
105,Upernavik,GL,72.7868,-56.1549,9.5,73,100,6.55,overcast clouds
106,Hambantota,LK,6.1241,81.1185,84.61,59,79,12.03,broken clouds
107,Skagen,DK,57.7209,10.5839,39.27,86,98,10.92,light rain
108,Jonuta,MX,18.0833,-92.1333,71.55,97,36,1.01,scattered clouds
109,Vire,FR,48.9167,-0.8333,47.59,90,100,4.83,overcast clouds
110,Alice Springs,AU,-23.7,133.8833,81.95,42,33,16.11,scattered clouds
111,Golden Gate,US,26.1879,-81.6951,73.42,68,75,1.99,broken clouds
112,Road Town,VG,18.4167,-64.6167,78.01,75,59,15.1,broken clouds
113,Lagoa,PT,39.05,-27.9833,64.24,78,100,30.8,overcast clouds
114,Saint-Paul-Les-Dax,FR,43.7272,-1.0516,52.32,98,100,0.0,overcast clouds
115,Gigmoto,PH,13.7796,124.39,85.91,70,40,6.04,scattered clouds
116,Coquimbo,CL,-29.9533,-71.3436,56.93,94,90,8.05,overcast clouds
117,Newport,GB,51.5877,-2.9984,48.45,85,56,11.65,broken clouds
118,Muana,BR,-1.5283,-49.2167,76.14,94,82,4.43,heavy intensity rain
119,Emba,KZ,48.8264,58.1442,27.19,78,86,18.97,overcast clouds
120,Nouadhibou,MR,20.931,-17.0347,69.17,80,100,14.09,overcast clouds
121,Katangli,RU,51.7102,143.2326,26.11,63,41,17.2,scattered clouds
122,Illapel,CL,-31.6308,-71.1653,65.5,63,0,1.5,clear sky
123,Yambio,SS,4.5721,28.3955,68.0,87,90,2.91,overcast clouds
124,Adrar,MR,20.5022,-10.0711,76.44,28,100,5.35,overcast clouds
125,Gorom-Gorom,BF,14.4439,-0.2361,76.98,17,8,9.8,clear sky
126,Ilulissat,GL,69.2167,-51.1,24.82,86,75,9.22,snow
127,Mataura,NZ,-46.1927,168.8643,56.23,91,100,4.92,light rain
128,Esfarayen,IR,37.0765,57.5101,40.75,39,22,3.53,few clouds
129,Sechura,PE,-5.5569,-80.8222,64.56,82,91,10.25,overcast clouds
130,Ancud,CL,-41.8697,-73.8203,53.42,95,99,6.02,overcast clouds
131,Qaanaaq,GL,77.484,-69.3632,-8.25,70,0,6.71,clear sky
132,Salym,RU,60.0625,71.4789,20.53,92,100,9.73,overcast clouds
133,San Lorenzo,PY,-25.3333,-57.5333,65.34,82,0,4.61,clear sky
134,Beloha,MG,-25.1667,45.05,74.71,72,72,11.74,broken clouds
135,Cabo San Lucas,MX,22.8909,-109.9124,73.51,73,42,1.99,scattered clouds
136,Zabaykalsk,RU,49.6333,117.3167,17.8,79,100,11.74,overcast clouds
137,Bani,DO,18.2833,-70.3333,77.76,84,13,8.39,few clouds
138,Garowe,SO,8.4054,48.4845,67.82,81,60,8.01,broken clouds
139,Taltal,CL,-25.4,-70.4833,61.93,77,71,2.53,broken clouds
140,Meadville,US,41.6414,-80.1515,43.18,52,1,6.91,clear sky
141,Bilibino,RU,68.0546,166.4372,-14.78,82,23,3.65,few clouds
142,Jining,CN,35.405,116.5814,53.87,47,76,19.13,broken clouds
143,Itarema,BR,-2.9248,-39.9167,81.64,69,61,16.53,broken clouds
144,Chisec,GT,15.8167,-90.2833,69.4,94,100,2.86,overcast clouds
145,Moussoro,TD,13.6408,16.4901,76.28,21,0,11.3,clear sky
146,Pueblo,US,38.2545,-104.6091,52.56,43,90,11.5,overcast clouds
147,Tura,IN,25.5198,90.2201,74.03,56,54,2.95,broken clouds
148,Butaritari,KI,3.0707,172.7902,81.68,70,100,12.75,overcast clouds
149,Bubaque,GW,11.2833,-15.8333,82.85,67,3,8.34,clear sky
150,Bethel,US,41.3712,-73.414,46.76,79,75,0.0,broken clouds
151,Itaqui,BR,-29.1253,-56.5531,66.52,49,0,8.97,clear sky
152,Puerto Morazan,NI,12.8504,-87.1717,74.84,76,17,2.08,few clouds
153,Palafrugell,ES,41.9174,3.1631,52.56,57,100,3.0,light rain
154,Souillac,MU,-20.5167,57.5167,79.36,78,75,8.05,broken clouds
155,Krasnyy Chikoy,RU,50.3643,108.7512,12.45,77,100,9.62,overcast clouds
156,Nanga Eboko,CM,4.6833,12.3667,69.01,98,87,2.35,overcast clouds
